,SampleType
C_0002,Control
C_0003,Control
C_0004,Control
C_0005,Control
C_0006,Control
C_0008,Control
C_0009,Control
C_0010,Control
C_0011,Control
C_0012,Control
C_0013,Control
C_0014,Control
C_0015,Control
C_0016,Control
C_0017,Control
C_0018,Control
C_0019,Control
C_0020,Control
C_0021,Control
C_0022,Control
C_0023,Control
C_0024,Control
C_0025,Control
C_0026,Control
C_0029,Control
C_0031,Control
C_0032,Control
C_0033,Control
C_0035,Control
C_0036,Control
C_0037,Control
C_0038,Control
C_0039,Control
C_0050,Control
C_0053,Control
C_0060,Control
C_0061,Control
C_0062,Control
C_0065,Control
C_0069,Control
C_0070,Control
C_0071,Control
C_0075,Control
C_0076,Control
C_0077,Control
C_0081,Control
C_0082,Control
C_0083,Control
C_0087,Control
H_0001,HD
H_0002,HD
H_0003,HD
H_0005,HD
H_0006,HD
H_0007,HD
H_0008,HD
H_0009,HD
H_0010,HD
H_0012,HD
H_0013,HD
H_0539,HD
H_0657,HD
H_0658,HD
H_0681,HD
H_0695,HD
H_0700,HD
H_0726,HD
H_0740,HD
H_0750,HD
